architecture,gen3_geometry,trl,minimum_feature_nm,alignment_tolerance_nm,fabrication_yield,fab_defect_density_cm3,interface_roughness_nm,relative_cost,scalability,process_maturity,charge_collection_efficiency,mean_carrier_travel_um,interface_area_ratio,trap_state_generation_cm3,fabrication_defect_density_cm3,raw_power_density_W_cm2,retained_performance_fraction,power_density_W_cm2,lifetime_years,yield_adjusted_power_W_cm2,manufacturability_adjusted_power_W_cm2,cost_adjusted_performance,manufacturability_score,risk_score,dominant_failure_mechanism,graphene_net_benefit,current_feasibility,near_term_feasibility,medium_term_feasibility
straight_graphene_fingers,straight_fingers,4,60.0,250.0,0.62,150000000000000.0,4.0,4.0,0.62,0.58,0.17103838204447247,1.9324599999999996,6.01,10939875000000.0,150000000000000.0,2.6216276106454756e-09,0.6998807382773006,1.8348266676267109e-09,0.0005003984365102882,1.1375925339285608e-09,4.44019657398833e-10,1.1100491434970824e-10,0.3903152,0.6096848,cost,True,Feasible as a small-area lithography and transfer stack.,Feasible for repeatable lab devices.,Plausible for wafer-scale if transfer/contact yield improves.
radial_spoke_collectors,radial_spokes,3,80.0,180.0,0.48,260000000000000.0,5.0,6.5,0.44,0.4,0.15042727729764716,1.793298,7.212,14389950000000.002,260000000000000.0,2.674555988785164e-09,0.6094200112464891,1.6299279407648196e-09,0.00040440357962572346,7.823654115671134e-10,2.225816837334034e-10,3.424333595898514e-11,0.28449836923076927,0.7155016307692308,cost,True,Feasible in small devices; central contact crowding is risky.,Likely feasible for laboratory radial cells.,Scale-up depends on contact routing.
interdigitated_graphene_combs,interdigitated_combs,3,80.0,120.0,0.42,300000000000000.0,5.5,7.0,0.42,0.42,0.14745457224887573,1.632699,8.127,20333362500000.004,300000000000000.0,2.8083599645014936e-09,0.5829721659759036,1.6371956913454474e-09,0.00037813441254392537,6.876221903650879e-10,1.7066798481940118e-10,2.4381140688485882e-11,0.24820022857142854,0.7517997714285715,process_complexity,True,Feasible only as small proof-of-concept patterns.,"Possible with high-end lithography, low yield.",Commercially plausible only with self-aligned patterning.
laser_written_graphitic_channels,straight_fingers,4,800.0,1500.0,0.72,350000000000000.0,18.0,3.0,0.78,0.62,0.07413751944761134,4.279999999999999,2.2333333333333334,16655416666666.668,350000000000000.0,1.3214985375138557e-09,0.4272879745508981,5.646604334662695e-10,0.0003439397019546,4.0655551209571403e-10,2.05359753929e-10,6.845325130966666e-11,0.5051210666666667,0.4948789333333333,thermal_stress,True,Feasible today for graphitic paths in diamond.,Strong laboratory path; geometry is coarser than transferred graphene.,Best near-term scale-up candidate if damage annealing is controlled.
honeycomb_graphene_mesh,honeycomb_mesh,2,120.0,100.0,0.3,400000000000000.0,7.0,9.0,0.3,0.3,0.12108391497133729,1.461247,11.137,32736675000000.004,400000000000000.0,2.5841822475051794e-09,0.4990463090476191,1.2896266125238406e-09,0.00032299695969628916,3.8688798375715215e-10,6.121530824242164e-11,6.801700915824627e-12,0.1582248888888889,0.8417751111111111,process_complexity,True,Marginal; complex etch/transfer alignment dominates.,Possible as small-area demonstrator.,Scale remains questionable without templated growth.
graphene_diamond_composite,straight_fingers,3,500.0,1000.0,0.58,400000000000000.0,12.0,5.0,0.55,0.38,0.0747527291954998,4.279999999999999,2.208333333333333,11618229166666.666,400000000000000.0,1.308268642306145e-09,0.4330066339047619,5.664890010481369e-10,0.00033591068211815794,3.285636206079194e-10,1.1199357144953625e-10,2.239871428990725e-11,0.3408581,0.6591419000000001,low_process_maturity,True,"Feasible as co-deposited or seeded composite, but transport is less controlled.",Plausible for lab films with moderate reproducibility.,Commercial path plausible if composite uniformity is solved.
fractal_tree_collectors,fractal_tree,2,60.0,80.0,0.22,500000000000000.0,8.0,11.0,0.18,0.22,0.09553601280225807,1.3704039999999997,12.942999999999998,41442862500000.0,500000000000000.0,2.4256813992477775e-09,0.4064116941176471,9.85825286857954e-10,0.0002891646583055137,2.1688156310874988e-10,1.8790429349287013e-11,1.708220849935183e-12,0.08663912727272727,0.9133608727272727,process_complexity,True,Not practical beyond demonstration patterns.,Possible as a lithographic test coupon.,Commercial route unlikely unless topology is simplified.
vertical_graphitic_nanoribbons,straight_fingers,2,40.0,80.0,0.25,600000000000000.0,9.0,12.0,0.22,0.2,0.019362198978796503,1.8086750444788475,59.193423393623576,104050217298015.06,600000000000000.0,1.1332170317658578e-10,0.38107819118139535,4.318442966812829e-11,0.0002647975023857071,1.0796107417032073e-11,8.475951959062434e-13,7.063293299218695e-14,0.07850933333333333,0.9214906666666667,process_complexity,False,Speculative; vertical alignment and contact continuity are unresolved.,Possible as focused-area nanofabrication test.,Commercial path uncertain without additive/self-assembled process.
multilayer_graphene_mesh,multilayer_3d_mesh,2,120.0,80.0,0.15,800000000000000.0,10.0,14.0,0.12,0.15,0.0,2.141306554592646,97.83165966204041,429451889698855.56,800000000000000.0,0.0,0.30699756000000006,0.0,0.0002555120622414777,0.0,0.0,0.0,0.060273928571428576,0.9397260714285715,process_complexity,False,Very low yield due to stacked alignment and buried interfaces.,Possible only as a materials experiment.,Commercialization unlikely without a new monolithic process.
graphene_coated_nanopore_channels,multilayer_3d_mesh,2,50.0,60.0,0.18,700000000000000.0,15.0,13.0,0.18,0.18,0.0,3.007397863586451,195.33829719895778,804852444215987.5,700000000000000.0,0.0,0.2936097059310345,0.0,0.00029208777201700014,0.0,0.0,0.0,0.05403138461538461,0.9459686153846154,process_complexity,False,High risk; pore coating continuity and damage dominate.,"Possible as nanoscale coupon, not useful-area device.",Scale unlikely without self-limiting conformal graphene growth.
