source,placement,median_source_utilization,best_packaging_adjusted_power_W_cm2
Ni63,dual_surface,0.5121599407143145,1.206104674391209e-08
C14,dual_surface,0.15784732191867307,1.2001338326904312e-08
Ni63,above,0.37937773386245516,1.072520368576347e-08
C14,above,0.11692394216198006,1.0671817788313861e-08
Ni63,below,0.3338524057989605,7.6700578740803e-09
C14,below,0.10289306910254245,7.631944965941843e-09
Tritium,above,0.8388769761897189,6.902489585183729e-09
Tritium,dual_surface,0.9551274624967057,5.601661863705022e-09
Tritium,below,0.7382117390469526,4.9277673113850375e-09
Ni63,embedded,0.3928373202627809,4.643621714550845e-09
C14,embedded,0.12066189524577679,4.620727309085652e-09
Ni63,distributed,0.5311288274074373,2.876153754993362e-09
C14,distributed,0.1636935190267721,2.862037956108256e-09
Tritium,embedded,0.8804871902604114,2.5940044454292155e-09
Ni63,stacked,0.625973260873051,1.4739861056823468e-09
C14,stacked,0.1929245045672671,1.466788636254163e-09
Tritium,distributed,0.9601694149934741,1.2436775699494292e-09
Tritium,stacked,0.9743950504102021,5.524753938314703e-10
